"25. bioRxiv [Preprint]. 2026 Feb 19:2026.02.18.706227. doi: 
10.64898/2026.02.18.706227.","Dual receptor engagement by mannose-capped lipoarabinomannan reprograms 
macrophage lipid metabolism in tuberculosis.","Nag D, Radeny J, Cui J, Vehra O, Yu Y, Nigou J, Bell SL, Gennaro ML.","Necrotizing granulomas, the pathological hallmark of active tuberculosis, are 
characterized by the accumulation of lipid droplet-laden macrophage foam cells 
that promote tissue destruction, bacterial persistence, and transmission. 
Despite their central role in tuberculosis pathogenesis, the molecular 
mechanisms driving foam cell formation remain poorly defined. Here, we 
demonstrate that the mannose-capped lipoglycan lipoarabinomannan (ManLAM), a 
major mycobacterial virulence factor, induces macrophage lipid droplet 
accumulation through coordinated engagement of Toll-like receptor 2 and 
Dectin-2. Distinct structural moieties within ManLAM are selectively required 
for recognition by each receptor. Dual receptor engagement synergistically 
enhances both lipid metabolic reprogramming and NF-κB-mediated inflammatory 
signaling. However, lipid accumulation proceeds through an 
mTORC1-PPARγ-dependent pathway that is largely independent of inflammatory 
activation. ManLAM-induced lipid metabolic changes closely mirror those elicited 
during Mycobacterium tuberculosis infection, both in triglyceride composition 
and in dependence on the mTORC1-PPARγ axis. These findings identify ManLAM as a 
major mycobacterial input into foam cell-associated lipid metabolism and 
delineate how a single microbial ligand, through coordinated engagement of two 
distinct innate immune receptors, couples mycobacterial recognition to 
macrophage lipid metabolism reprogramming.
SIGNIFICANCE STATEMENT: Characterizing how lipid-laden foam cells arise is 
central to understanding tuberculosis pathogenesis, as these cells define the 
necrotizing lesions that drive lung damage and transmission. We show that 
mannose-capped lipoarabinomannan, a single mycobacterial component, engages two 
distinct immune receptors on macrophages to drive lipid metabolic reprogramming, 
demonstrating that one microbial entity can activate multiple receptor pathways 
through integrated signaling. This finding defines a broader principle whereby 
the structural architecture of a microbial ligand encodes multi-receptor 
engagement to shape host responses. By delineating receptor signal integration 
in foam cell formation, this work provides a mechanistic framework for 
tuberculosis pathogenesis and highlights host pathways that may represent 
targets for host-directed intervention.","DOI: 10.64898/2026.02.18.706227
PMCID: PMC12934963
PMID: 41756836"
"26. Res Sq [Preprint]. 2026 Feb 16:rs.3.rs-8704245. doi: 
10.21203/rs.3.rs-8704245/v1.","Nutrient State, Aging, and Diet Modulate SAM50-Dependent Mitochondrial 
Remodeling and Systemic Metabolic Signatures.","Hinton AO, Masenga SK, Baskerville V, Petrovic M, Rodriguez B, Hubert DL, 
Miller-Fleming TW, Koo YD, Katti P, Venkhatesh P, Kirabo A, Lopez EG, Crabtree 
A, Marshall A, Blake C, Dash C, Prasad P, Murphy A, Afolabi J, Phillips MA, 
Evans C, Scudese E, Schafer JC, Berry J, Mobley BC, Dai DF, Mobley H, Winn NC, 
Khan MM, Pulatani D, Sorrentino J, Gamble-George J, McReynolds M, Wanjalla C.","Although Sorting and Assembly Machinery 50 (SAM50) is known to regulate 
nutritional and metabolic stress related to ageing, its exact role is not well 
understood. This experimental study combines both human and animal models to 
understand the role that SAM50 plays in nutrient, age-related metabolic 
remodeling. We also wanted to define the clinical relevance of SAMM50 genetic 
variation in human disease. Our study integrated clinical and genetic data from 
three large and independent human biobanks to assess the clinical implications 
of genetic variation in SAMM50. We then conducted mechanistic studies in mice 
using Serial Block-Face Scanning Electron Microscopy and Transmission Electron 
Microscopy for three-dimension analysis of mitochondrial morphology, 
immunoblotting, metabolomics/lipidomics, and assessment of metabolic parameters 
in models of fasting, aging, and a high-fat diet (HFD). Descriptive and 
inferential statistics were used to describe and test associations in GraphPad 
prism version 10. Our study demonstrated that common genetic variation within 
the SAMM50 genetic locus was significantly associated with liver-related 
metabolic disorders. In mice, nutrient status was associated with expression 
levels of Sam50 and proteins involved in the respiratory complex. Aging was 
associated with impaired mitochondria, decreased Sam50 expression, and increased 
triglyceride and lipid peroxidation, with increased lipid droplet-mitochondria 
contacts. An HFD was associated with a reduction in Sam50 expression, disruption 
of mitochondrial structure, and metabolic dysfunction, effects that were only 
partly reversed by returning to a normal diet. Our results demonstrate that 
SAM50 expression is associated with nutrient state and age-related signals, 
thereby orchestrating mitochondrial structure to influence systemic metabolic 
health.","DOI: 10.21203/rs.3.rs-8704245/v1
PMCID: PMC12934904
PMID: 41756451"
"64. bioRxiv [Preprint]. 2026 Feb 13:2026.02.11.705448. doi: 
10.64898/2026.02.11.705448.",Nutrient microenvironments reprogram RPE metabolism.,"Lim RR, Zhao E, Hass DT, Wang Y, Eminhizer M, Ortolan D, Niernberger S, Tong A, 
Nelson BR, Nazario M, Adipudi V, Bharti K, Hurley JB, Du J, Chao JR.","Induced pluripotent stem cell-derived retinal pigment epithelium (iPSC RPE) has 
become a widely used model for studying the mechanisms of age-related macular 
degeneration (AMD). However, the nutrient composition of currently used RPE 
culture media is highly variable, posing a major challenge to reproducibility in 
RPE metabolism and phenotype. We systematically investigate how six distinct 
nutrient microenvironments shape RPE phenotype, function and metabolism in both 
iPSC RPE and fetal RPE (fRPE). These included MEMα, DMEM-HG/F12 basal media, 
physiological human plasma-like medium (HPLM) supplemented with FBS or B27, and 
X-VIVO 10. Although canonical RPE markers were expressed across all conditions, 
B27 supplementation and X-VIVO 10 increased RPE cell size, hexagonality, and 
transepithelial resistance. Culture in HPLM+FBS induced accumulation of lipid 
droplets and sub-RPE deposits, whereas X-VIVO 10 resulted in the formation of 
large intracellular vacuoles. B27 supplementation enhanced basal respiration, 
while X-VIVO 10 increased glycolytic capacity. Amino acid consumption was 
broadly conserved across media types, including complete depletion of proline in 
all conditions by 48 hours; however, lipid and nucleotide metabolism varied 
substantially between conditions. Notably, B27 supplementation in specific media 
types reversed the net direction of several metabolites, with creatine, serine 
and taurine shifting from consumption to production, while riboflavin and 
guanine shifted from production to consumption. These findings establish the 
nutrient environment as a key determinant of RPE phenotype, function and 
metabolism. Our work provides a valuable resource for media selection and 
interpretation of cellular and metabolic phenotypes relevant to RPE disease 
modeling.","DOI: 10.64898/2026.02.11.705448
PMCID: PMC12918821
PMID: 41727089"
"65. bioRxiv [Preprint]. 2026 Feb 14:2026.02.12.705593. doi: 
10.64898/2026.02.12.705593.",Multiscale Analysis of PNPLA2 and PNPLA3 Membrane Targeting.,"Kumar A, Teskey G, Mottillo E, Huang YM.","Lipid droplets (LDs) are dynamic organelles that regulate cellular lipid storage 
and mobilization through the coordinated action of LD-associated proteins. 
Patatin-like phospholipase domain-containing proteins PNPLA2 (ATGL) and PNPLA3 
are central regulators of lipid metabolism, yet the molecular mechanisms 
underlying their membrane targeting and distinct enzymatic activities remain 
poorly understood. Here, we combine coarse-grained and all-atom molecular 
dynamics simulations with enhanced sampling to investigate how PNPLA2 and PNPLA3 
associate with endoplasmic reticulum (ER) and LD membranes. Despite sharing a 
conserved N-terminal patatin domain, the two proteins exhibit distinct 
membrane-binding modes driven by divergent C-terminal amphipathic helices. In 
both proteins, membrane association is mediated primarily by deep insertion of 
C-terminal helices, while the patatin domain provides surface contact. PNPLA2 
forms a deeply embedded U-shaped helical bundle on LDs that induce pronounced 
membrane curvature and promote opening of the catalytic dyad, consistent with 
its high triglyceride lipase activity. In contrast, PNPLA3 engages membranes 
through a more flexible helical arrangement that maintains a compact catalytic 
geometry and limits substrate accessibility. Membrane composition further 
modulates these interactions and leads to protein-specific lipid redistribution 
and curvature remodeling. Fluorescence microscopy experiments validate the 
computational predictions and demonstrate that mutation of a single arginine 
residue within the C-terminal region is sufficient to reduce LD targeting of 
both proteins. These results establish a mechanistic connection between membrane 
binding, conformational plasticity, and catalytic regulation in PNPLA2 and 
PNPLA3. Our work provides molecular insights into how lipid environments tune 
the function of LD-associated enzymes.","DOI: 10.64898/2026.02.12.705593
PMCID: PMC12919071
PMID: 41727053"
"137. bioRxiv [Preprint]. 2026 Feb 3:2026.02.01.701576. doi: 
10.64898/2026.02.01.701576.","Peroxisome dysfunction alters metabolism of photoreceptor outer segments in 
human retinal pigment epithelium.","Mouzaaber C, Feldman CB, Huguenin SM, Han JYS, Trombly E, Zhang Q, Rieger A, 
Hojjat H, Huynh BC, Misaghi E, Radziwon A, Fufa TD, Hufnagel RB, Miller JML, 
Benson MD.","PURPOSE: Peroxisomes are ubiquitous organelles that compartmentalize metabolic 
reactions including lipid catabolism and cellular detoxification. Biallelic 
loss-of-function variants in genes responsible for peroxisome assembly and 
function cause peroxisome biogenesis disorders (PBDs). Approximately 
three-quarters of PBDs are due to pathogenic variants in PEX1 or PEX6 and result 
in multisystem disease, including retinal degeneration and blindness. Despite 
retinal pigment epithelial (RPE) dysfunction and retinal degeneration occurring 
frequently in PBDs, precisely how impaired peroxisome activity disrupts retinal 
function remains to be fully explored. To address this, we differentiated PEX1 
knockout ( PEX1 -/- ), PEX6 knockout ( PEX6 -/- ), and wildtype human induced 
pluripotent stem cells (iPSCs) into RPE to study the consequences of peroxisome 
dysfunction in this disease-relevant cell type.
METHODS: CRISPR/Cas9-mediated genome editing was used to generate PEX1 -/- and 
PEX6 -/- in human iPSCs. The knockouts and isogenic wildtype iPSCs were 
differentiated into RPE (iRPE) and characterized by morphology, pigmentation, 
transepithelial electrical resistance (TEER), and expression of proteins 
associated with differentiated RPE using immunofluorescence microscopy and flow 
cytometry. Immunoblot analysis of whole iRPE lysates was used to evaluate the 
proteolytic processing of peroxisome enzymes, a measure of the integrity of 
peroxisome matrix protein import. Immunofluorescence detection of peroxisome 
membrane proteins was used to determine the abundance of peroxisomes across iRPE 
lines. Targeted lipidomics by gas and liquid chromatography with mass 
spectrometry were used to quantitatively compare the profiles of wildtype, PEX1 
-/- , and PEX6 -/- iRPE. Accumulation of intracellular neutral lipid, and more 
specifically lipid droplets, in iRPE was measured using flow cytometry and 
perilipin-2 immunoblotting, respectively. Phagocytosis of photoreceptor outer 
segments (POS) by iRPE was evaluated using rhodopsin immunoblotting.
RESULTS: PEX1 -/- , PEX6 -/- , and wildtype iRPE all had comparable hexagonal 
morphology and integrity of tight junctions, developed pigment, and similarly 
expressed proteins characteristic of RPE. Immunoblot analysis demonstrated 
aberrant processing of ACOX1, MFP2, and ACAA1 in PEX1 -/- and PEX6 -/- iRPE, 
suggesting impaired peroxisome matrix protein import. Targeted lipid profiling, 
including total fatty acid (FA) lipid profile analysis, revealed that in 
comparison to wildtype, PEX1 -/- and PEX6 -/- iRPE had significantly reduced 
docosahexaenoic acid (C22:6ω3) ( p <0.001) and phosphoethanolamine plasmalogens 
( p <0.0001 for C18:0(plasm)-Total-PE), while very long-chain fatty acids 
(VLCFA) ( p <0.001 for C26:0 and p <0.01 for C26:1ω9) and branched-chain FAs ( p 
<0.01 for both pristanic acid and phytanic acid) were significantly elevated. 
Following a POS challenge, wildtype iRPE had significantly elevated 
eicosapentaenoic acid (C20:5ω3) ( p =9.3E-5) and arachidonic acid (C20:4ω6) ( p 
=0.013), both retroconversion products from the two most abundant 
polyunsaturated FAs in POS: C22:6ω3 and docosapentaenoic acid (C22:5ω6). PEX1 
-/- and PEX6 -/- iRPE accumulated twice the amount of C22:5ω6 ( p <0.05) 
relative to wildtype iRPE following a POS challenge, without a significant 
increase in C20:5ω3 or C20:4ω6, suggesting impaired ω3 and ω6 retroconversion 
pathways. Finally, PEX1 -/- and PEX6 -/- iRPE demonstrated delayed degradation 
of internalized POS based on rhodopsin immunoblotting, increased intracellular 
lipid droplets, and reduced TEER following a POS challenge.
CONCLUSIONS: Our work has established the first human iRPE models to study the 
effects of peroxisome dysfunction in the RPE. Impaired peroxisome activity 
resulted in significant lipid profile changes and defective phagocytosis in 
iRPE. Dysregulated POS metabolism in the RPE is a potential mechanism driving 
retinal degeneration in patients with PBDs. Fully understanding the role of 
peroxisomes in the RPE will facilitate the development of novel therapies for 
degenerative retinal disorders.","DOI: 10.64898/2026.02.01.701576
PMCID: PMC12889534
PMID: 41676681"
"139. bioRxiv [Preprint]. 2026 Feb 7:2026.02.04.703853. doi: 
10.64898/2026.02.04.703853.","Different functions of human scavenger receptors BI and BII overexpressed in a 
murine abdominal sepsis model.","Hayase N, Vishnyakova TG, Baranova IN, Bocharov AV, Hu X, Patterson AP, Yuen 
PST, Eggerman TL, Star RA.","Class B scavenger receptors BI (SR-BI) and BII (SR-BII) internalize lipoproteins 
but also bind and internalize bacteria. Their roles in sepsis are unknown. We 
overexpressed human SR-BI and BII in the liver and kidney as well as bone 
marrow-derived macrophages, and then performed cecal ligation and puncture (CLP) 
surgery. SR-BI and BII transgenic mice had significantly worse survival compared 
to WT mice. 24 h after CLP, liver injury markers and histological damage were 
prominent in both SR-BI and BII transgenic mice, whereas kidney damage was 
similar. Systemic inflammatory cytokines were markedly increased in SR-BI and 
BII transgenic mice; parallel increases were seen in liver mRNA expression, not 
in the kidney. The highest degree of neutrophil infiltration was observed in the 
liver of SR-BI. Human SR-BI and BII dramatically decreased bacterial 
accumulation in the liver. Green fluorescence protein-labeled E. coli were 
efficiently phagocytosed in hepatic macrophages of SR-BI and BII transgenic 
mice; phagocytosis was more prominent in SR-BII transgenic mice. Finally, human 
SR-BI overexpression reduced systemic HDL-C level, eliminated adrenal cortex 
lipid droplets, and dampened the systemic increase of corticosterone after CLP. 
Supplementation with glucocorticoid and mineralocorticoid improved survival in 
SR-BI, but not SR-BII, transgenic mice after CLP. In summary, our findings 
suggest human SR-BI and BII overexpression contributes to higher mortality after 
CLP by excessive inflammatory response due to adrenal insufficiency (SR-BI) or 
hyperactive phagocytosis (SR-BII) in the liver.","DOI: 10.64898/2026.02.04.703853
PMCID: PMC12889697
PMID: 41676524"
"183. Clin Mol Hepatol. 2026 Feb 5. doi: 10.3350/cmh.2026.0094. Online ahead of
print.","Correspondence to editorial on ""A New Lens on Ferroptosis in Liver Disease: 
Near-Infrared Fluorescent Probe of Lipid Peroxidation-Driven Microenvironmental 
Remodeling"" and ""Mapping Lipid Droplet Viscosity: A Novel Tool for 
Spatiotemporal Ferroptosis"".","Kim T(1)(2), Pham LBH(1), Lee J(1), Kang KW(1)(2).","Author information:
(1)Research Institute of Pharmaceutical Sciences, College of Pharmacy, Seoul 
National University, Seoul 08826, Republic of Korea.
(2)Research Institute of Pharmaceutical Sciences & Natural Products Research 
Institute, College of Pharmacy, Seoul National University, Seoul 08826, Republic 
of Korea.","DOI: 10.3350/cmh.2026.0094
PMID: 41644115"
"230. Plant Physiol. 2026 Jan 28:kiag037. doi: 10.1093/plphys/kiag037. Online
ahead of  print.","Building safe lipid stores: Arabidopsis lipins shape lipid droplet biogenesis 
and lipid homeostasis.",Shakir S(1)(2).,"Author information:
(1)UMR Biologie du Fruit et Pathologie, INRAE, Université de Bordeaux, 33882, 
Villenave d'Ornon, France.
(2)Assistant Features Editor, Plant Physiology, American Society of Plant 
Biologists, Rockville, USA.","DOI: 10.1093/plphys/kiag037
PMID: 41606781"
"252. Clin Mol Hepatol. 2026 Jan 27. doi: 10.3350/cmh.2025.1493. Online ahead of 
print.","Mapping Lipid Droplet Viscosity: A Novel Tool for Spatiotemporal Ferroptosis 
Imaging.","Jeong JW(1), Fang S(2)(3).","Author information:
(1)Institute for Immunology and Immunological Diseases, Yonsei University 
College of Medicine, Seoul, Republic of Korea.
(2)Department of Biomedical Sciences, Gangnam Severance Hospital, Yonsei 
University College of Medicine, Seoul, Republic of Korea.
(3)Graduate School of Medical Science, Brain Korea 21 Project, Yonsei University 
College of Medicine, Seoul, Republic of Korea.","DOI: 10.3350/cmh.2025.1493
PMID: 41592603"
"270. bioRxiv [Preprint]. 2025 Dec 11:2025.12.09.693044. doi: 
10.64898/2025.12.09.693044.","Optical photothermal infrared imaging of fatty acid esterification in the ER of 
living cells.","Castillo HB, Davis CM.","Lipotoxicity is an accumulation of lipids that leads to cell death and metabolic 
disease. Saturated fatty acids are more likely to cause lipotoxicity, however, 
the mechanism remains unclear due to challenges visualizing reactions in live 
cells. Here, we use optical photothermal infrared (OPTIR) microspectroscopy to 
investigate palmitic acid (PA) metabolism in hepatocytes with sub-micron spatial 
resolution. Upon PA feeding, we discover a time-dependent ester carbonyl stretch 
localized to the ER and lipid droplet-ER contact sites of lipid droplets with 
abnormal morphology. This stretch is assigned to diacylglycerol intermediates in 
the glycerol-3-phosphate pathway. C-D stretches of deuterated PA provide 
complementary molecular details, supporting a model whereby PA acyl chain 
packing in the ER reduces enzyme diffusion slowing PA metabolism. Our results 
provide a deeper understanding of how phase changes induced by high melting 
temperature fatty acids and their metabolites change ER chemistry as well as 
provides a tool for detecting chemical and environmental changes associated with 
lipotoxicity in live cells.
TEASER: Sub-micron IR imaging of palmitic acid metabolism in live cells reveals 
diacylglycerol buildup and gel phase changes in the ER.","DOI: 10.64898/2025.12.09.693044
PMCID: PMC12822798
PMID: 41573870"
